"","cmplnt_num","cmplnt_fr_dt","cmplnt_fr_tm","addr_pct_cd","rpt_dt","ky_cd","ofns_desc","pd_cd","pd_desc","crm_atpt_cptd_cd","law_cat_cd","boro_nm","loc_of_occur_desc","prem_typ_desc","juris_desc","jurisdiction_code","housing_psa","x_coord_cd","y_coord_cd","susp_age_group","susp_race","susp_sex","latitude","longitude","lat_lon.latitude","lat_lon.longitude","patrol_boro","vic_age_group","vic_race","vic_sex","cmplnt_to_dt","cmplnt_to_tm","parks_nm","hadevelopt","transit_district","station_name"
"5687","161196226",2017-06-25,"20:30:00","75",2017-06-26,"341","PETIT LARCENY","321","LARCENY,PETIT FROM AUTO","COMPLETED","MISDEMEANOR","BROOKLYN",NA,"STREET","N.Y. POLICE DEPT","0","NA","1015527","181360",NA,NA,NA,"40.664420997","-73.887262556","40.664420997","-73.887262556","PATROL BORO BKLYN NORTH","45-64","BLACK","M",2017-06-26,"07:00:00",NA,NA,NA,NA
"5688","150806232",2011-01-01,"05:51:00","75",2011-01-03,"361","OFF. AGNST PUB ORD SENSBLTY &","639","AGGRAVATED HARASSMENT 2","COMPLETED","MISDEMEANOR","BROOKLYN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","NA","1017864","186879",NA,NA,NA,"40.679560841","-73.878811259","40.679560841","-73.878811259","PATROL BORO BKLYN NORTH","25-44","WHITE","M",NA,NA,"NA",NA,NA,NA
"5689","864548490",2016-06-24,"12:00:00","30",2016-06-27,"341","PETIT LARCENY","357","LARCENY,PETIT OF VEHICLE ACCES","COMPLETED","MISDEMEANOR","MANHATTAN",NA,"STREET","N.Y. POLICE DEPT","0","NA","999539","239499",NA,NA,NA,"40.824040004","-73.944759612","40.824040004","-73.944759612","PATROL BORO MAN NORTH","45-64","BLACK","M",NA,NA,NA,NA,NA,NA
"5690","294804974",2016-08-21,"05:50:00","25",2016-08-21,"347","INTOXICATED & IMPAIRED DRIVING","905","INTOXICATED DRIVING,ALCOHOL","COMPLETED","MISDEMEANOR","MANHATTAN",NA,"OTHER","N.Y. POLICE DEPT","0","NA","1001756","231618","25-44","WHITE HISPANIC","M","40.802404743","-73.936769757","40.802404743","-73.936769757","PATROL BORO MAN NORTH","UNKNOWN","UNKNOWN","E",2016-08-21,"06:02:00",NA,NA,NA,NA
"5691","351493328",2017-11-13,"15:20:00","70",2017-11-15,"341","PETIT LARCENY","338","LARCENY,PETIT FROM BUILDING,UN","COMPLETED","MISDEMEANOR","BROOKLYN","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","NA","992826","168862","UNKNOWN","UNKNOWN","U","40.630167774","-73.969104866","40.630167774","-73.969104866","PATROL BORO BKLYN SOUTH","45-64","WHITE","M",2017-11-13,"15:35:00",NA,NA,NA,NA
"5692","525898727",2012-08-30,"09:00:00","106",2012-09-02,"365","ADMINISTRATIVE CODE","878","ADM.CODE,UNCLASSIFIED MISDEMEA","COMPLETED","MISDEMEANOR","QUEENS","INSIDE","RESIDENCE - APT. HOUSE","N.Y. POLICE DEPT","0","NA","1036889","188412",NA,"UNKNOWN","M","40.68367588","-73.810207704","40.68367588","-73.810207704","PATROL BORO QUEENS SOUTH","45-64","UNKNOWN","M",NA,NA,"NA",NA,NA,NA
"5693","919820000",2015-01-29,"20:10:00","71",2015-01-29,"341","PETIT LARCENY","333","LARCENY,PETIT FROM STORE-SHOPL","COMPLETED","MISDEMEANOR","BROOKLYN","INSIDE","DRUG STORE","N.Y. POLICE DEPT","0","NA","1003292","180090",NA,"UNKNOWN","U","40.660969895","-73.931367545","40.660969895","-73.931367545","PATROL BORO BKLYN SOUTH",NA,"UNKNOWN","D",2015-01-29,"20:20:00",NA,NA,NA,NA
"5694","646979202",2017-08-10,"20:30:00","102",2017-08-10,"351","CRIMINAL MISCHIEF & RELATED OF","254","MISCHIEF, CRIMINAL 4, OF MOTOR","COMPLETED","MISDEMEANOR","QUEENS","INSIDE","STREET","N.Y. POLICE DEPT","0","NA","1026220","190288","UNKNOWN","UNKNOWN","U","40.688882082","-73.848663787","40.688882082","-73.848663787","PATROL BORO QUEENS SOUTH","45-64","WHITE HISPANIC","F",2017-08-10,"21:00:00",NA,NA,NA,NA
"5695","764222038",2012-05-15,"21:00:00","73",2012-05-16,"341","PETIT LARCENY","357","LARCENY,PETIT OF VEHICLE ACCES","COMPLETED","MISDEMEANOR","BROOKLYN","FRONT OF","STREET","N.Y. POLICE DEPT","0","NA","1008116","184730",NA,NA,NA,"40.67369397","-73.913963778","40.67369397","-73.913963778","PATROL BORO BKLYN NORTH","25-44","BLACK","M",2012-05-16,"06:30:00","NA",NA,NA,NA
"5696","775225100",2014-06-11,"13:20:00","123",2014-06-11,"344","ASSAULT 3 & RELATED OFFENSES","101","ASSAULT 3","COMPLETED","MISDEMEANOR","STATEN ISLAND","OPPOSITE OF","STREET","N.Y. POLICE DEPT","0","NA","930970","131549",NA,"BLACK","M","40.527595098","-74.191657765","40.527595098","-74.191657765","PATROL BORO STATEN ISLAND","<18","WHITE","M",2014-06-11,"13:30:00",NA,NA,NA,NA
