Name,Category,Region,County,Golf,Camp,Playground,Nature Center,Beach,Facility URL,Golf URL,Nature Center URL,Longitude,Latitude,Location
Pinnacle,State Park,4,Steuben,N,N,N,,N,,,,-77.21456092,42.09735297,"(42.09735297, -77.21456092)"
Cherry Plain,State Park,11,Rensselaer,N,Y,Y,,Y,https://parks.ny.gov/parks/173/details.aspx,,,-73.41221527,42.61786779,"(42.61786779, -73.41221527)"
High Tor,State Park,8,Rockland,N,N,N,,N,https://parks.ny.gov/parks/78/details.aspx,,,-73.98401299,41.19061787,"(41.19061787, -73.98401299)"
Old Erie Canal,State Historic Park,5,Onon/Mad/Oneida,N,N,N,,N,https://parks.ny.gov/historic-sites/32/details.aspx,,,-75.92176935,43.0754747,"(43.0754747, -75.92176935)"
Highland Lakes,State Park,8,Orange,N,N,N,,N,https://parks.ny.gov/parks/5/details.aspx,,,-74.32857545,41.49130058,"(41.49130058, -74.32857545)"
Philipse Manor Hall,State Historic Site,7,Westchester,N,N,N,,N,https://parks.ny.gov/historic-sites/37/details.aspx,,,-73.89931286,40.93555005,"(40.93555005, -73.89931286)"
Schuyler Mansion,State Historic Site,11,Albany,N,N,N,,N,https://parks.ny.gov/historic-sites/33/details.aspx,,,-73.75928699,42.64132297,"(42.64132297, -73.75928699)"
Beaver Island,State Park,1,Erie,Y,N,Y,Y,Y,https://parks.ny.gov/parks/56/details.aspx,https://parks.ny.gov/golf/4/details.aspx,https://parks.ny.gov/environment/nature-centers/11/details.aspx,-78.95310636,42.96576594,"(42.96576594, -78.95310636)"
Chenango Valley,State Park,5,Broome,Y,Y,Y,,Y,https://parks.ny.gov/parks/41/details.aspx,https://parks.ny.gov/golf/20/details.aspx,,-75.83623684,42.21554025,"(42.21554025, -75.83623684)"
Point Au Roche Boat Launch,Marine Facility,10,Clinton,N,N,N,,N,,,,-73.36439068,44.80297115,"(44.80297115, -73.36439068)"
Max V. Shaul,State Park,11,Schoharie,N,Y,Y,,N,https://parks.ny.gov/parks/94/details.aspx,,,-74.41092231,42.54799377,"(42.54799377, -74.41092231)"
DeVeaux Woods,State Park,1,Erie,N,N,Y,,N,https://parks.ny.gov/parks/11/details.aspx,,,-79.05874318,43.1194168,"(43.1194168, -79.05874318)"
East River,State Park,12,Kings,N,N,Y,,N,https://parks.ny.gov/parks/155/details.aspx,,,-73.96205753,40.72142461,"(40.72142461, -73.96205753)"
Parrot Hall,State Historic Site,4,Ontario,N,N,N,,N,,,,-77.00881425,42.87677396,"(42.87677396, -77.00881425)"
Quiet Cove Riverfront Park,Other,7,Dutchess,N,N,N,,N,,,,-73.93449945,41.73322539,"(41.73322539, -73.93449945)"
John Burroughs Memorial,State Historic Site,5,Delaware,N,N,N,,N,https://parks.ny.gov/historic-sites/3/details.aspx,,,-74.58596903,42.29474198,"(42.29474198, -74.58596903)"
Kring Point,State Park,10,Jefferson,N,Y,Y,,Y,https://parks.ny.gov/parks/14/details.aspx,,,-75.85615854,44.37718875,"(44.37718875, -75.85615854)"
Bennington Battlefield,State Historic Site,11,Rensselaer,N,N,N,,N,https://parks.ny.gov/historic-sites/12/details.aspx,,,-73.3022506,42.93950615,"(42.93950615, -73.3022506)"
Donald J. Trump,State Park,7,Putnam/Westchester,N,N,N,,N,,,,-73.80837178,41.34539868,"(41.34539868, -73.80837178)"
Midway,State Park,2,Chautauqua,N,N,N,,N,https://parks.ny.gov/parks/167/details.aspx,,,-79.4224274,42.20087248,"(42.20087248, -79.4224274)"
Letchworth,State Park,3,Liv/Wyo,N,Y,Y,Y-A,N,https://parks.ny.gov/parks/79/details.aspx,,https://parks.ny.gov/environment/nature-centers/19/details.aspx,-77.97576922,42.64592135,"(42.64592135, -77.97576922)"
Cold Spring Harbor,State Park,9,Suffolk,N,N,N,,N,https://parks.ny.gov/parks/115/details.aspx,,,-73.46022301,40.86283939,"(40.86283939, -73.46022301)"
Battle Island,State Park,5,Oswego,Y,N,N,,N,https://parks.ny.gov/parks/44/details.aspx,https://parks.ny.gov/golf/5/details.aspx,,-76.43604418,43.36167093,"(43.36167093, -76.43604418)"
Cumberland Bay,State Park,10,Clinton,N,Y,Y,,Y,https://parks.ny.gov/parks/34/details.aspx,,,-73.42117996,44.73334654,"(44.73334654, -73.42117996)"
Wilson-Tuscarora,State Park,1,Niagara,N,N,Y,,Y,https://parks.ny.gov/parks/69/details.aspx,,,-78.85560888,43.30377729,"(43.30377729, -78.85560888)"
Minnewaska,State Park Preserve,8,Ulster,N,N,N,Y,Y-M,https://parks.ny.gov/parks/127/details.aspx,,,-74.29323529,41.71581549,"(41.71581549, -74.29323529)"
Hempstead Lake,State Park,9,Nassau,N,N,Y,,N,https://parks.ny.gov/parks/31/details.aspx,,,-73.64242151,40.682314,"(40.682314, -73.64242151)"
Darien Lakes,State Park,3,Genesee,N,Y,Y,,Y,https://parks.ny.gov/parks/144/details.aspx,,,-78.4114923,42.91181416,"(42.91181416, -78.4114923)"
Pixley Falls,State Park,5,Oneida,N,N,N,,N,https://parks.ny.gov/parks/32/details.aspx,,,-75.34147555,43.40431845,"(43.40431845, -75.34147555)"
John Boyd Thacher,State Park,11,Albany,N,Y,Y,Y-A,N,https://parks.ny.gov/parks/128/details.aspx,,https://parks.ny.gov/environment/nature-centers/8/details.aspx,-74.01470616,42.65546552,"(42.65546552, -74.01470616)"
Roberto Clemente,State Park,12,Bronx,N,N,Y,,N,https://parks.ny.gov/parks/140/details.aspx,,,-73.92004274,40.85536367,"(40.85536367, -73.92004274)"
Great Chazy Boat Launch,Marine Facility,10,Clinton,N,N,N,,N,,,,-73.38722476,44.93159446,"(44.93159446, -73.38722476)"
Sonnenberg Gardens and Mansion,State Historic Park,4,Ontario,N,N,N,,N,https://parks.ny.gov/historic-sites/36/details.aspx,,,-77.2721596,42.89814677,"(42.89814677, -77.2721596)"
Steuben Memorial,State Historic Site,5,Oneida,N,N,N,,N,https://parks.ny.gov/historic-sites/2/details.aspx,,,-75.2324893,43.3381057,"(43.3381057, -75.2324893)"
Crown Point,State Historic Site,11,Essex,N,N,N,,N,https://parks.ny.gov/historic-sites/34/details.aspx,,,-73.43166319,44.02332481,"(44.02332481, -73.43166319)"
Caleb Smith Park Preserve,State Park Preserve,9,Suffolk,N,N,N,Y-A,N,https://parks.ny.gov/parks/124/details.aspx,,https://parks.ny.gov/environment/nature-centers/9/details.aspx,-73.22601645,40.85303798,"(40.85303798, -73.22601645)"
Evangola,State Park,1,Erie,N,Y,Y,Y,Y,https://parks.ny.gov/parks/91/details.aspx,,https://parks.ny.gov/environment/nature-centers/16/details.aspx,-79.10185926,42.60579936,"(42.60579936, -79.10185926)"
Chaumont Boat Launch,Marine Facility,10,Jefferson,N,N,N,,N,,,,-76.14980352,44.06940899,"(44.06940899, -76.14980352)"
Honeoye Marine Park,Marine Facility,4,Ontario,N,N,N,,N,https://parks.ny.gov/parks/162/details.aspx,,,-77.50457815,42.72575402,"(42.72575402, -77.50457815)"
Montauk Downs,State Park,9,Suffolk,Y,N,N,,N,https://parks.ny.gov/parks/29/details.aspx,https://parks.ny.gov/golf/8/details.aspx,,-71.9385278,41.04928768,"(41.04928768, -71.9385278)"
Rockland Lake,State Park,8,Rockland,Y,N,N,Y,N,https://parks.ny.gov/parks/81/details.aspx,https://parks.ny.gov/golf/6/details.aspx,,-73.92191924,41.13621068,"(41.13621068, -73.92191924)"
John Jay Homestead,State Historic Site,7,Westchester,N,N,N,,N,https://parks.ny.gov/historic-sites/4/details.aspx,,,-73.65880641,41.25034096,"(41.25034096, -73.65880641)"
Bear Mountain,State Park,8,Rockland/Orange,N,N,Y,Y-A,N,https://parks.ny.gov/parks/145/details.aspx,,https://parks.ny.gov/environment/nature-centers/20/details.aspx,-73.99240161,41.29900423,"(41.29900423, -73.99240161)"
Grafton Lakes,State Park,11,Rensselaer,N,N,Y,Y-A,Y,https://parks.ny.gov/parks/53/details.aspx,,https://parks.ny.gov/environment/nature-centers/1/details.aspx,-73.44286108,42.78418998,"(42.78418998, -73.44286108)"
Delta Lake,State Park,5,Oneida,N,Y,Y,,Y,https://parks.ny.gov/parks/66/details.aspx,,,-75.42187224,43.29096558,"(43.29096558, -75.42187224)"
DeWolf Point,State Park,10,Jefferson,N,Y,N,,N,https://parks.ny.gov/parks/22/details.aspx,,,-75.9901418,44.33274077,"(44.33274077, -75.9901418)"
St. Lawrence,State Park,10,St. Lawrence,Y,N,N,,N,https://parks.ny.gov/parks/70/details.aspx,https://parks.ny.gov/golf/2/details.aspx,,-75.57656984,44.62983634,"(44.62983634, -75.57656984)"
State Park at the Fair,State Park,5,Onondaga,N,N,N,,N,https://parks.ny.gov/parks/82/details.aspx,,,-76.21696591,43.07110463,"(43.07110463, -76.21696591)"
Orient Beach,State Park,9,Suffolk,N,N,Y,,Y,https://parks.ny.gov/parks/106/details.aspx,,,-72.27152525,41.12855132,"(41.12855132, -72.27152525)"
Joseph Davis,State Park,1,Niagara,N,N,Y,,N,https://parks.ny.gov/parks/45/details.aspx,,,-79.03992446,43.21412115,"(43.21412115, -79.03992446)"
Goosepond Mountain,State Park,8,Orange,N,N,N,,N,https://parks.ny.gov/parks/55/details.aspx,,,-74.24664764,41.33752483,"(41.33752483, -74.24664764)"
Allan H. Treman,Marine Facility,4,Tompkins,N,N,N,,N,https://parks.ny.gov/parks/35/details.aspx,,,-76.51756817,42.46139668,"(42.46139668, -76.51756817)"
Hook Mountain,State Park,8,Rockland,N,N,N,,N,,,,-73.91588172,41.1517064,"(41.1517064, -73.91588172)"
Canadarago Boat Marine Park,Marine Facility,5,Otsego,N,N,N,,N,,,,-75.01298786,42.81858875,"(42.81858875, -75.01298786)"
Franny Reese Preserve,State Park,8,Ulster,N,N,N,,N,https://parks.ny.gov/parks/192/details.aspx,,,-73.95596437,41.70146445,"(41.70146445, -73.95596437)"
Peebles Island,State Park,11,Saratoga,N,N,N,,N,https://parks.ny.gov/parks/111/details.aspx,,,-73.68454923,42.78232136,"(42.78232136, -73.68454923)"
Hart's Brook Nature Preserve & Arboretum,Other,7,Westchester,N,N,N,,N,,,,-73.80806017,41.01796144,"(41.01796144, -73.80806017)"
Susan B Anthony,State Historic Site,11,Washington,N,N,N,,N,,,,-73.42311978,43.11052997,"(43.11052997, -73.42311978)"
Big Six Mile Creek Marina,Marine Facility,1,Erie,N,N,N,,N,https://parks.ny.gov/parks/50/details.aspx,,,-79.0109877,43.02319516,"(43.02319516, -79.0109877)"
Point Au Roche,State Park,10,Clinton,N,N,Y,Y,Y,https://parks.ny.gov/parks/30/details.aspx,,,-73.38769347,44.77840043,"(44.77840043, -73.38769347)"
Hither Hills,State Park,9,Suffolk,N,Y,Y,Y,Y,https://parks.ny.gov/parks/122/details.aspx,,,-72.02131304,41.01605601,"(41.01605601, -72.02131304)"
Conesus Lake Marine Park,Marine Facility,3,Livingston,N,N,N,,N,https://parks.ny.gov/parks/71/details.aspx,,,-77.7116005,42.77580615,"(42.77580615, -77.7116005)"
Genesee River,Other,3,Monroe,N,N,N,,N,,,,-77.61431271,43.23058471,"(43.23058471, -77.61431271)"
Washington's Headquarters,State Historic Site,8,Orange,N,N,N,,N,https://parks.ny.gov/historic-sites/17/details.aspx,,,-74.00960758,41.49770505,"(41.49770505, -74.00960758)"
Canandaigua Lake Marine Park,Marine Facility,4,Ontario,N,N,N,,N,https://parks.ny.gov/parks/3/details.aspx,,,-77.2756828,42.87666859,"(42.87666859, -77.2756828)"
Connetquot River,State Park Preserve,9,Suffolk,N,N,N,Y-A,N,https://parks.ny.gov/parks/8/details.aspx,,https://parks.ny.gov/environment/nature-centers/6/details.aspx,-73.14924969,40.76942925,"(40.76942925, -73.14924969)"
Seneca Lake,State Park,4,Ont/Sen,N,N,Y,,Y,https://parks.ny.gov/parks/125/details.aspx,,,-76.95454977,42.8739501,"(42.8739501, -76.95454977)"
Walt Whitman Birthplace,State Historic Site,9,Suffolk,N,N,N,,N,https://parks.ny.gov/historic-sites/19/details.aspx,,,-73.41176452,40.81717508,"(40.81717508, -73.41176452)"
Reservoir,State Park,1,Niagara,N,N,Y,,N,https://parks.ny.gov/parks/75/details.aspx,,,-79.01503815,43.13401154,"(43.13401154, -79.01503815)"
Alfred E. Smith/Sunken Meadow,State Park,9,Suffolk,Y,N,Y,Y-A,Y,https://parks.ny.gov/parks/37/,https://parks.ny.gov/golf/13/details.aspx,,-73.26320632,40.90999227,"(40.90999227, -73.26320632)"
Sag Harbor Golf Course,State Park,9,Suffolk,Y,N,N,,N,,https://parks.ny.gov/golf/17/details.aspx,,-72.26056664,40.99702452,"(40.99702452, -72.26056664)"
Croil Island,State Park,10,St. Lawrence,N,N,N,,N,,,,-74.97947525,44.97256811,"(44.97256811, -74.97947525)"
Woodlawn Beach,State Park,1,Erie,N,N,Y,N,Y,https://parks.ny.gov/parks/47/details.aspx,,,-78.85220785,42.7938189,"(42.7938189, -78.85220785)"
Buttermilk Falls,State Park,4,Tompkins,N,Y,Y,,Y-M,https://parks.ny.gov/parks/151/details.aspx,,,-76.51225664,42.40402596,"(42.40402596, -76.51225664)"
Newtown Battlefield,State Park,4,Chemung,N,Y,Y,,N,https://parks.ny.gov/parks/107/details.aspx,,,-76.73631727,42.04902652,"(42.04902652, -76.73631727)"
Rockefeller,State Park Preserve,7,Westchester,N,N,N,,N,https://parks.ny.gov/parks/59/details.aspx,,,-73.83253999,41.10969309,"(41.10969309, -73.83253999)"
Mary Island,State Park,10,Jefferson,N,Y,N,,N,https://parks.ny.gov/parks/40/details.aspx,,,-75.92157812,44.3655711,"(44.3655711, -75.92157812)"
Long Point,State Park,2,Chautauqua,N,N,Y,,Y,https://parks.ny.gov/parks/109/details.aspx,,,-79.4109114,42.17876065,"(42.17876065, -79.4109114)"
Betty & Wilbur Davis,State Park,5,Otsego,N,Y,N,,N,https://parks.ny.gov/parks/85/details.aspx,,,-74.83290982,42.66363969,"(42.66363969, -74.83290982)"
Golden Hill,State Park,1,Niagara,N,Y,Y,,N,https://parks.ny.gov/parks/143/details.aspx,,,-78.48015886,43.36946168,"(43.36946168, -78.48015886)"
Indian Hills,State Park,4,Steuben,Y,N,N,,N,,https://parks.ny.gov/golf/19/details.aspx,,-77.15476554,42.09305489,"(42.09305489, -77.15476554)"
Sterling Forest,State Park,8,Orange,N,N,N,Y-A,N,https://parks.ny.gov/parks/74/details.aspx,,,-74.24676588,41.21191921,"(41.21191921, -74.24676588)"
Fair Haven Beach,State Park,4,Cayuga,Y,Y,Y,,Y-M,https://parks.ny.gov/parks/12/details.aspx,https://parks.ny.gov/golf/9/details.aspx,,-76.69131068,43.34170812,"(43.34170812, -76.69131068)"
Moreau Lake,State Park,11,Saratoga,N,Y,Y,Y,Y,https://parks.ny.gov/parks/150/details.aspx,,https://parks.ny.gov/environment/nature-centers/7/details.aspx,-73.7337769,43.23321367,"(43.23321367, -73.7337769)"
Wildwood,State Park,9,Suffolk,N,Y,Y,,Y,https://parks.ny.gov/parks/68/details.aspx,,,-72.79457341,40.96049996,"(40.96049996, -72.79457341)"
Lorenzo,State Historic Site,5,Madison,N,N,N,,N,https://parks.ny.gov/historic-sites/15/details.aspx,,,-75.86569996,42.92290209,"(42.92290209, -75.86569996)"
Caumsett,State Historic Park Preserve,9,Suffolk,N,N,N,,N,https://parks.ny.gov/parks/23/details.aspx,,,-73.46867735,40.92812462,"(40.92812462, -73.46867735)"
Cedar Point,State Park,10,Jefferson,N,Y,Y,,Y,https://parks.ny.gov/parks/21/details.aspx,,,-76.19613394,44.2034892,"(44.2034892, -76.19613394)"
Nissequogue River,State Park,9,Suffolk,N,N,Y,,N,https://parks.ny.gov/parks/110/details.aspx,,,-73.2316962,40.89867044,"(40.89867044, -73.2316962)"
Olana,State Historic Site,7,Columbia,N,N,N,,N,https://parks.ny.gov/historic-sites/23/details.aspx,,,-73.82875957,42.21459514,"(42.21459514, -73.82875957)"
Athens Boat Launch,Marine Facility,11,Greene,N,N,N,,N,,,,-73.80227689,42.27295384,"(42.27295384, -73.80227689)"
Green Lakes,State Park,5,Onondaga,Y,Y,Y,Y,Y,https://parks.ny.gov/parks/172/details.aspx,https://parks.ny.gov/golf/14/details.aspx,,-75.9818848,43.04697832,"(43.04697832, -75.9818848)"
John Brown Farm,State Historic Site,11,Essex,N,N,N,,N,https://parks.ny.gov/historic-sites/29/details.aspx,,,-73.97150675,44.2495745,"(44.2495745, -73.97150675)"
Selkirk Shores,State Park,5,Oswego,N,Y,Y,,Y,https://parks.ny.gov/parks/84/details.aspx,,,-76.19844002,43.55566201,"(43.55566201, -76.19844002)"
Clark Reservation,State Park,5,Onondaga,N,N,Y,Y,N,https://parks.ny.gov/parks/126/details.aspx,,https://parks.ny.gov/environment/nature-centers/15/details.aspx,-76.09300044,42.9975225,"(42.9975225, -76.09300044)"
Devil's Hole,State Park,1,Niagara,N,N,N,,N,https://parks.ny.gov/parks/42/details.aspx,,,-79.0459607,43.13463185,"(43.13463185, -79.0459607)"
Bayswater,State Park,12,Queens,N,N,N,,N,https://parks.ny.gov/parks/86/details.aspx,,,-73.77255293,40.6128179,"(40.6128179, -73.77255293)"
