Name,Category,Region,County,Golf,Camp,Playground,Nature Center,Beach,Facility URL,Golf URL,Nature Center URL,Longitude,Latitude,Location
Black Lake Boat Launch,Marine Facility,10,St. Lawrence,N,N,N,,N,,,,-75.61250218,44.5101278,"(44.5101278, -75.61250218)"
Old Fort Niagara,State Historic Site,1,Niagara,N,N,N,,N,https://parks.ny.gov/historic-sites/31/details.aspx,,,-79.06311435,43.26259391,"(43.26259391, -79.06311435)"
Fort Montgomery,State Historic Site,8,Orange,N,N,N,,N,https://parks.ny.gov/historic-sites/28/details.aspx,,,-73.98957246,41.3243022,"(41.3243022, -73.98957246)"
Canal Park Lock 32,Marine Facility,3,Monroe,N,N,N,,N,,,,-77.54634101,43.09255115,"(43.09255115, -77.54634101)"
Brentwood,State Park,9,Suffolk,N,N,N,,N,https://parks.ny.gov/parks/187/details.aspx,,,-73.27112999,40.79155338,"(40.79155338, -73.27112999)"
Four Mile Creek,State Park,1,Niagara,N,Y,Y,,N,https://parks.ny.gov/parks/6/details.aspx,,,-78.99746851,43.27437645,"(43.27437645, -78.99746851)"
Bowman Lake,State Park,5,Chenango,N,Y,Y,,Y,https://parks.ny.gov/parks/76/details.aspx,,,-75.6806338,42.51998474,"(42.51998474, -75.6806338)"
Robert Moses,State Park,9,Suffolk,Y,N,Y,,Y-M,https://parks.ny.gov/parks/7/details.aspx,https://parks.ny.gov/golf/12/details.aspx,,-73.26514244,40.62351775,"(40.62351775, -73.26514244)"
Senate House,State Historic Site,8,Orange,N,N,N,,N,https://parks.ny.gov/historic-sites/18/details.aspx,,,-74.01888424,41.93493647,"(41.93493647, -74.01888424)"
Bonavista,State Park,4,Seneca,Y,N,N,,N,https://parks.ny.gov/parks/160/details.aspx,https://parks.ny.gov/golf/10/details.aspx,,-76.86772498,42.67319422,"(42.67319422, -76.86772498)"
Gantry Plaza,State Park,12,Queens,N,N,Y,,N,https://parks.ny.gov/parks/149/details.aspx,,,-73.95814962,40.74651899,"(40.74651899, -73.95814962)"
Johnson Hall,State Historic Site,11,Fulton,N,N,N,,N,https://parks.ny.gov/historic-sites/10/details.aspx,,,-74.38189017,43.01551188,"(43.01551188, -74.38189017)"
Clarence Fahnestock,State Park,7,Putnam,N,Y,N,Y-A,Y,https://parks.ny.gov/parks/133/details.aspx,,https://parks.ny.gov/environment/nature-centers/3/details.aspx,-73.84764739,41.45275633,"(41.45275633, -73.84764739)"
Mexico Point,State Park,5,Oswego,N,N,N,,N,,,,-76.25846408,43.5199984,"(43.5199984, -76.25846408)"
Macomb Reservation,State Park,10,Clinton,N,Y,Y,,Y,https://parks.ny.gov/parks/77/details.aspx,,,-73.61240776,44.61786492,"(44.61786492, -73.61240776)"
Wilson Hill Boat Launch,Marine Facility,10,St. Lawrence,N,N,N,,N,,,,-75.01052413,44.92871977,"(44.92871977, -75.01052413)"
Franklin Delano Roosevelt,State Park,7,Westchester,N,N,Y,,N,https://parks.ny.gov/parks/148/details.aspx,,,-73.80875691,41.28230417,"(41.28230417, -73.80875691)"
Silver Lake,State Park,3,Wyoming,N,N,N,,N,https://parks.ny.gov/parks/104/details.aspx,,,-78.05656098,42.67925422,"(42.67925422, -78.05656098)"
Lake Erie,State Park,2,Chautauqua,N,Y,Y,,Y,https://parks.ny.gov/parks/129/details.aspx,,,-79.43141787,42.42289079,"(42.42289079, -79.43141787)"
Captree,State Park,9,Suffolk,N,N,Y,,N,https://parks.ny.gov/parks/65/details.aspx,,,-73.26127359,40.63885218,"(40.63885218, -73.26127359)"
Cedar Island,State Park,10,St. Lawrence,N,Y,N,,N,https://parks.ny.gov/parks/25/details.aspx,,,-75.79052886,44.44967933,"(44.44967933, -75.79052886)"
Keuka Lake,State Park,4,Yates,N,Y,Y,,Y,https://parks.ny.gov/parks/67/details.aspx,,,-77.12858336,42.58218255,"(42.58218255, -77.12858336)"
Old Croton Aqueduct,State Historic Park,7,Westchester,N,N,N,,N,https://parks.ny.gov/parks/96/details.aspx,,,-73.86317128,41.16566387,"(41.16566387, -73.86317128)"
Napeague,State Park,9,Suffolk,N,N,N,,N,,,,-72.07589738,40.993265,"(40.993265, -72.07589738)"
Nyack Beach,State Park,8,Rockland,N,N,N,,N,https://parks.ny.gov/parks/156/details.aspx,,,-73.90865449,41.1271277,"(41.1271277, -73.90865449)"
Allegany,State Park,2,Cattaraugus,N,Y,Y,Y-A,Y-M,https://parks.ny.gov/parks/136/details.aspx,,https://parks.ny.gov/environment/nature-centers/12/details.aspx,-78.76855865,42.05475752,"(42.05475752, -78.76855865)"
Earl W. Brydges Artpark,State Park,1,Niagara,N,N,N,,N,https://parks.ny.gov/parks/113/details.aspx,,,-79.04192821,43.16561822,"(43.16561822, -79.04192821)"
Chittenango Falls,State Park,5,Madison,N,N,Y,N,N,https://parks.ny.gov/parks/130/details.aspx,,,-75.84665631,42.98148474,"(42.98148474, -75.84665631)"
Staatsburgh,State Historic Site,7,Dutchess,N,N,N,,N,https://parks.ny.gov/historic-sites/25/details.aspx,,,-73.9299489,41.85662754,"(41.85662754, -73.9299489)"
Mark Twain,State Park,4,Chemung,Y,N,N,,N,https://parks.ny.gov/parks/138/details.aspx,https://parks.ny.gov/golf/3/details.aspx,,-76.83569091,42.21166069,"(42.21166069, -76.83569091)"
Mohawk River,State Park,11,Schenectady,N,N,N,,N,,,,-73.84963984,42.80040938,"(42.80040938, -73.84963984)"
Clay Pit Ponds,State Park Preserve,12,Richmond,N,N,N,Y-A,N,https://parks.ny.gov/parks/166/details.aspx,,https://parks.ny.gov/environment/nature-centers/14/details.aspx,-74.22904609,40.54056355,"(40.54056355, -74.22904609)"
Robert G. Wehle,State Park,10,Jefferson,N,Y,N,,N,https://parks.ny.gov/parks/137/details.aspx,,,-76.27550032,43.86716908,"(43.86716908, -76.27550032)"
Helen L. McNitt,State Park,5,Madison,N,N,N,,N,https://parks.ny.gov/parks/201/details.aspx,,,-75.87410835,42.97085176,"(42.97085176, -75.87410835)"
Waterson Point,State Park,10,Jefferson,N,N,N,,N,https://parks.ny.gov/parks/48/details.aspx,,,-76.01007586,44.33917818,"(44.33917818, -76.01007586)"
Bayard Cutting Arboretum,State Park,9,Suffolk,N,N,N,N,N,https://parks.ny.gov/parks/95/details.aspx,,,-73.15775835,40.74724054,"(40.74724054, -73.15775835)"
Irondequoit Bay Marine Park,Marine Facility,3,Monroe,N,N,N,,N,https://parks.ny.gov/parks/100/details.aspx,,,-77.53971069,43.23186953,"(43.23186953, -77.53971069)"
Jones Beach,State Park,9,Nassau,N,N,Y,Y-A,Y-M,https://parks.ny.gov/parks/10/details.aspx,,https://parks.ny.gov/environment/nature-centers/4/details.aspx,-73.51642732,40.59601085,"(40.59601085, -73.51642732)"
Storm King,State Park,8,Orange,N,N,N,,N,https://parks.ny.gov/parks/152/details.aspx,,,-73.9913464,41.42564449,"(41.42564449, -73.9913464)"
Braddock Bay,State Park,3,Monroe,N,N,N,,N,,,,-77.70386572,43.29419545,"(43.29419545, -77.70386572)"
Ganondagan,State Historic Site,4,Ontario,N,N,N,,N,https://parks.ny.gov/historic-sites/26/details.aspx,,,-77.42206824,42.96482987,"(42.96482987, -77.42206824)"
Crab Island,State Park,10,Clinton,N,N,N,,N,,,,-73.41714939,44.661758,"(44.661758, -73.41714939)"
Brandy Brook Boat Launch,Marine Facility,10,St. Lawrence,N,N,N,N,N,,,,-75.1631923,44.8734346,"(44.8734346, -75.1631923)"
Strawberry Island,Other,1,Erie,N,N,N,,N,,,,-78.92249742,42.95394906,"(42.95394906, -78.92249742)"
Sackets Harbor,State Historic Site,10,Jefferson,N,N,N,,N,https://parks.ny.gov/historic-sites/7/details.aspx,,,-76.12978027,43.94630983,"(43.94630983, -76.12978027)"
Hudson River,Marine Facility,7,Columbia,N,N,N,N,N,,,,-73.79816401,42.25573309,"(42.25573309, -73.79816401)"
Saratoga Lake Marine Park,Marine Facility,11,Saratoga,N,N,N,,N,https://parks.ny.gov/parks/120/details.aspx,,,-73.72109199,43.05354647,"(43.05354647, -73.72109199)"
Schoharie Crossing,State Historic Site,11,Montgomery,N,N,Y,,N,https://parks.ny.gov/historic-sites/27/details.aspx,,,-74.26757028,42.94934485,"(42.94934485, -74.26757028)"
Buffalo Harbor,State Park,1,Erie,N,N,Y,N,N,https://parks.ny.gov/parks/191/details.aspx,,,-78.86468299,42.84638726,"(42.84638726, -78.86468299)"
Bristol Beach,State Park,8,Rockland,N,N,N,,N,,,,-73.93253108,42.10837178,"(42.10837178, -73.93253108)"
Lake Superior,State Park,8,Sullivan,N,N,N,,Y,https://parks.ny.gov/parks/87/details.aspx,,,-74.87942648,41.66793053,"(41.66793053, -74.87942648)"
Gilbert Lake,State Park,5,Otsego,N,Y,Y,,Y,https://parks.ny.gov/parks/19/details.aspx,,,-75.13246312,42.586584,"(42.586584, -75.13246312)"
Galop Island,State Park,10,St. Lawrence,N,N,N,,N,,,,-75.39276378,44.76843672,"(44.76843672, -75.39276378)"
Sandy Island Beach,State Park,5,Oswego,N,N,N,,Y,https://parks.ny.gov/parks/153/details.aspx,,,-76.195665,43.63093161,"(43.63093161, -76.195665)"
Haverstraw Beach,State Park,8,Rockland,N,N,N,,N,,,,-73.94317048,41.17799181,"(41.17799181, -73.94317048)"
Chimney Bluffs,State Park,4,Wayne,N,N,N,,N,https://parks.ny.gov/parks/43/details.aspx,,,-76.9170242,43.28094552,"(43.28094552, -76.9170242)"
Niagara Falls,State Park,1,Niagara,N,N,N,Y,N,https://parks.ny.gov/parks/46/details.aspx,,,-79.06701953,43.0867482,"(43.0867482, -79.06701953)"
Hallock,State Park Preserve,9,Suffolk,N,N,N,C,N,https://parks.ny.gov/parks/181/details.aspx,,,-72.59747381,40.99072069,"(40.99072069, -72.59747381)"
Keewaydin,State Park,10,Jefferson,N,Y,Y,,N,https://parks.ny.gov/parks/24/details.aspx,,,-75.92971103,44.32343021,"(44.32343021, -75.92971103)"
Two Rivers,State Park,4,Tioga,N,N,N,,N,https://parks.ny.gov/parks/179/details.aspx,,,-76.54731999,42.02516355,"(42.02516355, -76.54731999)"
